Text,Polarity,Label
really think lunch get losing suppose middle thru worry eaten,Depression,1
go days aww almost holiday uk son youtube liked chicago,Non Depression,0
want running anyway law cruise swimming gee fired jerry gabeatkins,Non Depression,0
dont ready nice hit started lmao ride ask bar given,Non Depression,0
thing gone whole lonely hubby fact dying kitty gosh king,Non Depression,0
day bored exam mus okay break til lovely stayed lady,Depression,1
krazzy revisit gabeatkins craigmiller grammargir silentxcollapse albboy agtherealist sundance girlishoutline,Non Depression,0
way talk saturday super walk st name afternoon minute calling,Non Depression,0
someone migh play water enjoy hmm stress service bottle get,Depression,1
back right asleep ivem evil babe fam knowing dat laugh,Non Depression,0
im car live danny office upset soooo trip chat wasnt,Depression,1
quot ever w actually probably music reading difficult struggling continue,Non Depression,0
pu food says online f sometimes die forget serious ruined,Non Depression,0
one eat raining gave get london pick doubt picked fab,Depression,1
long bit yes till hell fine behind get album wah,Non Depression,0
bad hate alreadythought cool soo puppy names sundance pbr,Depression,0
means worst point tom pizza yup txt schedule rubbish mate,Depression,1
nothing guys hey cuz meet less huge tommcfly line spam,Non Depression,0
Words without read english text books easy reality magic usual dc,Non Depression,0
Words baby thinking watched trek past reason hand visit wait ticket,Depression,1
Words amp didnt send get sweet although hands upload apps itchy,Depression,1
Words  looking forward years brother ones ache worried inside double classes,Non Depression,0
Words week next x first use boring crazy finale second def,Depression,1
Words sure said needs dead rest month shows red bought account,Depression,1
Words missing girl found body drink ha favorite wit milk beer,Non Depression,0
Words still longer ppl team nights get pray blackberry sell happening,Non Depression,0
Words well new great playing move e v hmmm random sd,Depression,1
Words like looks final birthday revision lots games low starts foot,Non Depression,0
Words  krazzy revisit gabeatkins craigmiller grammargirl silentxcollapse albboy agtherealist sundance girlishoutline,Non Depression,0
Words feeling left sunday believe waiting hurt finally ear blocked get,Depression,1
Words watch david seriously seem jus staying tough doctor get dougiemcfly,Depression,1
Words tonight fun since tho world hoping goodnight get worth xoxo,Non Depression,0
Words  everyone talking terrible hahaha dude igure drunk enjoying dentist awwww,Non Depression,0
lol yesterday woke maybe least ago p stay fall asked,Non Depression,0
getting bout dear lately yr hello problems pc order clothes,Depression,1
pretty goes cook heard hit idk ipod coz june cried,Depression,1
u ur cry completely get message gah lovestellingcontacts,Depression,1
lost headache summer able family lucky listening town lose mins,Depression,1
never look hot movie job suck shop jobs searching yahoo,Non Depression,0
kinda face seen weird havent dvd bet miles park swollen,Non Depression,0
best friend fb thinks death mileycyrus uh ny block meaning,Depression,1
dog girls kids gym cutesat ahead company fault chill,Non Depression,0
haha hurts made head thats com pictures officially small couldnt,Depression,1
come another wait weatherseasonbooass nd ms download,Non Depression,0
please awesome else song excited agree course dance dark looked,Non Depression,0
away far mean iv sense background digital heh square signal,Non Depression,0
work home school get even sucks mine atleast gabeatkins agtherealist,Depression,1
leave study tweet finished sleepy reply shame write bloody get,Depression,1
yeah fuck internet city ouch heading turn train worked failed,Depression,1
today know omg wanted test bank beautiful email sent state,Non Depression,0
good monday game try video news book get hospital taken,Non Depression,0
soon guess hear idea coffee sorry happened awww bring spend,Depression,1
twitter make let stupid anything wont iphone funny get page,Non Depression,0
find wants guy mind couple except garden via shoes anywhere,Non Depression,0
sleep cant ugh something friends learn hurting mail turns shitty,Depression,1
